codigo;nome;cidade;endereco;descricao_portugues;descricao_ingles;slogan;ponto_de_contato;email;site;telefone;area;produtos
11;ATS4I;São Paulo;Av. Pompeia, 634, cj. 113;A ATS combina técnicas computacionais com metodologias da engenharia tradicional para oferecer projetos únicos com resultados confiáveis e precisos, trabalhando com engenharia de produtos para a indústria aeroespacial, e com equipamentos e processos para a indústria pesada. Na indústria aeroespacial, atua desde o pré-projeto com estudos conceituais, nas fases do produto (JDP, PDR, CDR), planejamento e ensaios, até a análise dos resultados, tanto na criação, quanto na modificação e upgrade de equipamentos existentes, e também em projetos de certificação ANAC, FAA, EASA e TC. A ATS possui competências em engenharia de sistemas fluidos. mecânicos e térmicos. ensaios em voo e solo. estruturas, aerodinâmica. equipamentos de solo (GSE) e equipamentos de suporte à fabricação de montagem;ATS combines computational techniques with traditional engineering methodologies to offer unique, high technology solutions, always with reliable and accurate results. We work with product development engineering and distribution of numerical simulation software (CFD, FEA, MDO) for various branches of industry: Aerospace, Defense, Oil and Gas, Mining, etc. In the aerospace industry, we operate from the pre-project with conceptual studies, in the product phases (JDP, PDR, CDR), planning and testing, to the analysis of the results, both in the creation, modification and upgrade of existing equipment, and also in ANAC, FAA, EASA and TC certification projects. With the differential of providing a complete consultancy, working with the customers to solve problems and create the best solutions, ATS has competences in: Fluid, mechanical and thermal systems engineering. Combustion, structures and aerodynamics. Flight and ground tests. Numerical Simulation CFD, FEA and MDO. Among other branches of product development.;Todos os dias desenvolvemos soluções de alta tecnologia para a indústria aeroespacial;Guilherme Araújo Lima da Silva;gasilva@ats4i.com.br;www.ats4i.com.br;+55 11 3854-4221;Software | Serviços;Metacomp CFD++ - Ferramenta de CFD precisa, veloz e robusta. | Tecplot 360EX - Visualização de resultados numéricos de forma automatizada. | iChrome Nexus - Otimizador multidisciplinar e integrador de plataformas. | Ennova Mesh Generation - Gerador de malha em paralelo e robusto.
12;Avibras Industria Aeroespacial S.A.;São José dos Campos;Eugênio de Mello, Estrada Doutor Altino Bondesan, 500, conjunto 2.210 - Centro Empresarial IV;A Avibras é uma empresa brasileira de Tecnologia e Inovação com capacidade industrial única e reconhecida mundialmente pela excelência e qualidade de seus produtos, sistemas e serviços. Com 60 anos de atuação, desenvolve tecnologias críticas nas áreas Espacial, Aeronáutica, Eletrônica, Veículos Blindados e Defesa.;Avibras is a Brazilian company of Technology and Innovation with unique industrial capacity and worldwide recognized for the excellence and quality of its products, systems and services. With 60 years of experience, it develops critical technologies in Space, Aeronautics, Electronics, Armored Vehicles and Defense.;Tecnologia e Inovação com Sustentabilidade;Avandelino Santana Junior;santana.junior@avibras.com.br;www.avibras.com.br;+55 12 3955-5300;Lançadores | Hardware | Infraestrutura | Serviços;Veículo Suborbital VSB-30: Veículo de dois estágios | Foguetes de Treinamento Básico e Intermediário (FTB e FTI): foguetes suborbitais para treinamento de equipes dos centros de lançamento. | Propulsor S50 | Propulsores e Veículos para aplicação Espacial
13;BeByte Tecnologia Educacional S/A;São Paulo;Rua Humberto I, 348;A BeByte tem como missão preparar um milhão de crianças e jovens para o futuro. Acreditamos que o conhecimento tem que ser democratizado, para que o Brasil possa se desenvolver, com mais oportunidades para todos. O saber não pode ser um luxo de poucos. Tampouco, uma mercadoria que só o dinheiro pode comprar. Há muita gente empenhada em promover a educação e a inclusão digital, no Brasil. Professores, que agem, como verdadeiros guerreiros, e não medem esforços. Entidades do Terceiro Setor, voluntários, entidades internacionais, e mesmo empresas privadas.;BeByte’s mission is to prepare one million children and young people for the future. We believe that knowledge has to be democratized, so that Brazil can develop, with more opportunities for everyone. Knowledge cannot be a luxury for a few. Nor is it a commodity that only money can buy. There are many people committed to promoting education and digital inclusion in Brazil. Teachers, who act, like true warriors, and don’t measure efforts. Third Sector Entities, volunteers, international entities, and even private companies.;Preparar 1 milhão de jovens para o futuro;Alexandre Rodrigues de Carvalho;me@alexroger.com;www.bebyte.com.br;+55 61 99911-2539;Software;Curso de robótica espacial pra jovens
14;BETA TELECOM;São José dos Campos;Av. Dr. João Guilhermino, 429, Cjs 142/144/172/173, Centro - Edifício Saint James;A Beta Telecom, empresa especializada em medidas de altas frequências e serviços de telecomunicações, iniciou suas atividades em 1994. Representa as empresas Comtech Xicom, Comtech EF DATA. Desenvolveu linearizadores de amplificadores de potência, e receptores de banda S para transponders em satélites de baixa órbita (parcerias Fapesp e Finep). Ajustou e ensaiou diversos transponders de voo banda S para o INPE, no programa do satélite CBERS, e projetou e construiu os bancos de testes automatizados do transponder desse satélite. Em 2019 recebeu da AEB e CNSA diploma de reconhecimento pelos importantes trabalhos realizados no programa CBERS. Tem grande experiência em testes de EMC (CISPR e militares MIL-STD-461). Fez o levamento completo do mapa de emissões do porta aviões São Paulo, Fragatas da classe Niterói, e participou extensivamente na homologação e testes de compatibilidade eletromagnética do radar de bordo do caça AMX (Embraer).;Beta Telecom, a company specialized in high frequency measurements and telecommunications services, started its activities in 1994. It represents the companies Comtech Xicom, Comtech EF DATA. Developed linearizers for power amplifiers, and S-band receivers for transponders in low-orbit satellites (partnerships Fapesp and Finep). It adjusted and tested several S-band flight transponders for INPE, in the CBERS satellite program, and designed and built the automated test benches for that satellite’s transponder. In 2019 it received a diploma of recognition from AEB and CNSA for the important work carried out in the CBERS program. It has extensive experience in EMC testing (CISPR and MIL-STD- 461 military). Made the complete survey of the emissions map of the aircraft carrier São Paulo, Niterói class frigates and participated extensively in the approval and tests of electromagnetic compatibility of the onboard radar of the AMX fighter (Embraer).;-;Wilton J. Fleming;beta@betatelecom.com.br;www.betatelecom.com.br;+55 12 3941-5054;Aplicações | Software | Serviços;Projeta e produz antenas para testes de EMC | Ministra cursos de RF e antenas e EMC.
15;BIDOIA E MELLO SOCIEDADE DE ADVOGADOS;São Paulo;Vila Nova Conceição, Avenida Presidente Juscelino Kubitschek, 2041, Torre B, 5º andar;BM Advogados é composto por profissionais com experiência comprovada no setor aeroespacial. No campo espacial, possuímos experiência na negociação de aquisição de satélites e equipamentos, na contratação de veículos lançadores e seguros correlatos, e controle de exportação. Ademais, temos experiência no assessoramento em assuntos relacionados à aviação civil, comercial e militar, incluindo, a representação de fabricantes de aeronaves e companhias aéreas, na elaboração de contratos de arrendamento de aeronaves, de fornecimento de peças e assistência técnica e na negociação de garantias.;BM Advogados is composed by professionals with an in-depth knowledge of the aerospace industry. In the field of space, we have experience in the negotiation of satellite acquisitions and equipment, launch vehicles, related insurance and export control. We can also advise on matters related to civil, commercial and military aviation, including the representation of aircraft manufacturers and airlines, the drafting of contracts for aircraft lease, spare parts supply and technical assistance, and the negotiation of warranties.;-;Felipe de Almeida Mello;felipe.mello@bbmlaw.com.br;www.bmlaw.com.br;+55 11 98105-9285;Serviços;Prestação de serviços jurídicos em direito brasileiro.
16;Castro Leite Consultoria Ltda.;São José dos Campos;Av. Cidade Jardim, Bosque dos Eucaliptos;Fornece sistemas de navegação inercial para veículos aeroespaciais. Realiza e implementa projetos de sistemas de controle e guiamento para veículos aeroespaciais.;Provides inertial navigation systems for aerospace vehicles. Performs and implements control and guidance system design for aerospace vehicles.;Nós entregamos.;waldemar de castro leite filho;waldclf@gmail.com;www.castroleite.com.br;+55 12 991-3530;Lançadores | Aplicações | Serviços;PINA-F Plataforma de Navegação Inercial Auxiliada: Sistema de navegação autônoma e auxiliada por GPS de classe tática. | Tecnologia de Girômetros a Fibra Ótica (TRL 8) | Projeto de Sistemas de Controle de Atitude e Guiamento: Definição de requisitos e engenharia de sistemas para concepção e projeto de veículos aeroespaciais controlados. | Simulação do processo dinâmico controlado
17;CLAMPER INDÚSTRIA & COMÉRCIO S/A;Lagoa Santa;Rodovia LMG-800, km 1, 128 - Distrito Industrial;Fundada em 1991, a CLAMPER é uma empresa brasileira, especialista no desenvolvimento e fabricação de dispositivos de proteção contra surtos elétricos (DPS). Líder de mercado no Brasil, com mais de 40 milhões de produtos vendidos no mercado nacional e em 21 países, a CLAMPER possui laboratório próprio para simulações de surtos elétricos e descargas atmosféricas, o que possibilita que os produtos sejam testados rigorosamente por seus especialistas. A empresa possui certificações dos mais conceituados órgãos do mundo e conta com profissionais especializados que promovem eventos de divulgação e treinamento sobre conceitos, normas e aplicações do DPS. Em 2020, a CLAMPER inaugurou a primeira fábrica no Aeroporto Industrial de Belo Horizonte sendo a primeira indústria brasileira a instalar sua área fabril em um projeto inovador, cujo objetivo principal é aumentar a competitividade da empresa no contexto internacional e impulsionar os investimentos estrangeiros para o Brasil.;Founded in 1991, CLAMPER is a Brazilian company specialized in developing and manufacturing electrical surge protection devices (SPD). With over 40 million products sold on the national market CLAMPER is the market leader in Brazil and it is present in 21 countries around the world. CLAMPER owns its own laboratory for simulating electrical surges and lightning strikes, which enables to test products rigorously by its specialists. The company is certified by the most respected institutes around the world and is composed of specialized professionals that promote trainings over concepts, standards and SPD applications. In 2020, CLAMPER opened its first factory at Belo Horizonte Industrial Airport being the first company to settle its manufacturing area in an innovative project. The main objective is to increase the competitiveness of Brazilian companies into global context and boost foreign investments to Brazil;Líder e especialista em DPS;Wagner Almeida Barbosa;wagner@clamper.com.br;www.clamper.com.br;+55 31 3689-9500;Software | Infraestrutura | Serviços;DPS para fontes de alimentação em corrente alternada e corrente contínua
18;COLLINS AEROSPACE;São José dos Campos;Rua Ambrósio Molina, 1090, Prédio D;A Collins Aerospace Systems é uma empresa líder em soluções tecnologicamente avançadas e inteligentes para a indústria aeroespacial e de defesa global. A Collins Aerospace tem recursos, portfólio abrangente e experiência para resolver os desafios mais difíceis dos clientes e atender às demandas de um mercado global em rápida evolução. Com vendas líquidas de aproximadamente US $ 26 bilhões em 2019, a empresa tem 78.000 funcionários em mais de 300 locais em todo o mundo. É uma das quatro empresas que formam a Raytheon Technologies.;Collins Aerospace Systems is a leader in technologically advanced and intelligent solutions for the global aerospace and defense industry. Collins Aerospace has the capabilities, comprehensive portfolio and expertise to solve customers’ toughest challenges and to meet the demands of a rapidly evolving global market. With 2019 net sales of approximately $26 billion, the business has 78,000 employees across more than 300 locations globally. It is one of the four businesses that form Raytheon Technologies.;-;Marcelo Assis;marcelo.assis@collins.com;www.collinsaerospace.com;+55 21 99574-5099;Satélites | Software;Fabricação de Space Wheels para Órbita Terrestre Baixa (LEO), Órbita Terrestre Média (MEO), Órbita Geoestacionária (GEO), e aplicações Deep Space
19;COSMICUBES;São José dos Campos;Av Cassiano Ricardo, 101 / 292A, Jardim Aquárius;As principais atividades da empresa concentram-se na assessoria e atividades de projeto, simulação, especificação, desenvolvimento, codificação de software, definição de testes, realização de testes, verificação, simulação com hardware em malha de controle, relacionados a sistemas de determinação e controle de atitude (ADCS) de satélites e nanosatélites. A partir dos requisitos do satélite tendo como ponto de partida os objetivos da missão, a empresa está capacitada a prover uma solução de baixo custo que seja ao mesmo tempo robusta sem comprometer o desempenho, para satélites controlados em dois ou três eixos. Desde uma missão sem requisitos de estabilidade ou apontamento, até satélites de observação da Terra que requeiram alta estabilidade e elevada precisão de apontamento do controle de atitude, a Cosmicubes está apta a oferecer alternativas que cumpram as exigências necessárias para operação da carga útil, além de prover meios de recuperação de falhas e cumprir os objetivos da missão da pré-injeção em órbita até o descomissionamento. Todas as fases da missão, da concepção aos testes com hardware em malha fechada necessários para validar o software do controle de atitude fazem parte do portfólio da empresa, cobrindo inclusive software de solo referente ao ADCS.;The main activities of Cosmicubes are focused on design, simulation, specification, development, software coding, test planning, conducting tests, verification and validation procedures, and simulation with hardware in control loop, related to Attitude Determination and Control Systems (ADCS) for satellites and nanosatellites. Based on the requirements of the satellite with mission objectives as a starting point, the company is able to provide robust and low-cost solutions, without compromising attitude performance, for satellites with two or three axis attitude stabilization. From a mission without stability or pointing requirements, to Earth observation satellites that require high stability and high accuracy from the ADCS, Cosmicubes is able to offer alternatives that meet the necessary requirements for payload operation, in addition to provide means of failure recovering, to accomplish with mission objectives from orbit injection to satellite decommissioning. All phases of the mission, from conception to testing with closed-loop hardware necessary to validate the attitude control software are part of the company’s portfolio, including ground software for the ADCS.;Because Attitude Matters.;Valdemir Carrara;valdemir@carrara.us;www.cosmicubes.com;+55 12 3923-2858;Satélites | Software | Serviços;Projeto e definição de sistemas de controle de atitude de satélites com seleção de equipamentos e fornecedores (TRL9) | Simulação de sistemas de controle de atitude com alta fidelidade e precisão para validar leis de controle e estratégias de atuação (TRL9) | Elaboração de especificações, busca de fornecedores, serviços de compra, acompanhamento do fornecimento (TRL9) | Planejamento de testes para validar sistemas de controle, implantação e realização dos testes, e elaboração de relatórios de ensaios para validar sistemas de controle (TRL8) | Software de bordo para controle de atitude em três eixos, de alta precisão de apontamento e de estabilidade, compatíveis com imageadores ópticos para sensoreamento remoto (TRL7. Deverá atingir TRL9 em 2021) | Software de simulação de controle de atitude customizado para atendimento de aspectos particulares da missão (TRL7) | Software para acompanhamento e previsão de passagens de satélites, com informações para rastreio e apontamento de antenas parabólicas (TRL9) | Software para auxílio a manobras orbitais, com simulação de manobras e otimização de tempo para atingir a órbita final ou gasto de combustível (TRL7)
20;CRIAR SPACE SYSTEMS - TECNOLOGIA AEROESPACIAL EIRELI;Ribeirão Preto;Avenida Antônio da Costa Santos, quadra 12 lote 04;Da experiência em aliar hardware e soft- ware, o GRUPO CRIAR fundou em 2018 a CRIAR SPACE SYSTEMS, empresa que atua no desenvolvimento de produtos e sistemas para a área aeroespacial, tais como Antenas Direcionais Automáticas (ADAs) nas Bandas VHF / UHF / L / S / C / X, CubeSats e aplicações que possibilitam o monitoramento através dos dados fornecidos pelos produtos. Como primeiro projeto, desenvolveu um mecanis- mo automático para rastrear e captar dados de satélites na forma de uma Estação Terre- na composta de Antena Direcional Automá- tica. No site http://datasat.space, podemos ter exemplos das capturas e possíveis decodificações feitas;From its experience in combining hardware and software, GRUPO CRIAR founded in 2018 CRIAR SPACE SYSTEMS, a company that works in the development of products and systems for the aerospace area, such as Automatic Directional Antennas (ADAs) in the VHF / UHF / L / S bands / C / X, CubeSats and applications that enable monitoring through the data provided by the products. As a first project, it developed an automatic mechanism to track and capture data from satellites in the form of an Earth Station composed of an Automatic Directional Antenna. On the website http://datasat.space, we can have examples of the captures and possible decodings made.;CONNECTING EARTH AND SPACE;SÉRGIO DA SILVA SOARES;novosnegocios@grupocriar.com.br;criarspace.com;+55 16 99165-6060;Infraestrutura;Antena Direcional Automática (ADA) e periféricos | Rede de Estações Terresteres ADA (DATASAT)
21;CRON - Sistemas e Tecnologias Ltda.;São José dos Campos;Urbanova, Avenida Shishima Hifumi, 2911, anexo escritorio 3;A empresa atua como integradora e desenvolvedora de missões com cube e nanosats do tipo turn key, desde a concepção da missão, até o seu projeto, desenvolvimento, testes, lançamento e operação. Atua para suporte técnico ao lançamento e sua contratação. Atua também na área de serviços com missões espaciais já existentes para uso dos dados notadamente para IoT e gerenciamento em atividades como agronegócios, monitoramento e outros.;The company works as an integrator and developer for space mission using cube and nanosats in a turn key mode, since its conception through its design, development, testing, launching and operatiuon. Provides technical support for la with existing nanounching and its selection and contracting. Offer data services for IoT and management using existing satellite constellations for applications such as agrobusiness, fire monitoring and others.;Missões espaciais com nano satélites.;Otavio Santos Cupertino Durão;otaviodurao@hotmail.com;www.cronsistec.com.br;;Satélites | Lançadores | Aplicações;Cubesats: Nanosatélites no padrão cubesat (TRL 8) | Subsistemas para cubesats: Computador de bordo, subsistema de potência, subsistema de controle, transceptor e estrutura para cubesats (TRL 8) | Integração de sistemas de solo para uso com IoT com satélites. | Gerenciamento e interface para lançamento de cubesats
22;DELTAV;São José dos Campos;Estrada Dr. Altino Bondensan, 500 - Eugênio de Melo;A DeltaV Engenharia Espacial é uma startup brasileira, spin-off do Laboratório de Combustão e Propulsão do Instituto Nacional de Pesquisas Espaciais, que atua no desenvolvimento de sistemas propulsivos para aplicações espaciais. Fundada em 2019, encontra-se sediada no Parque Tecnológico de São José dos Campos, no Estado de São Paulo. A empresa conta com uma equipe altamente qualificada e complementar em Engenharia Espacial, com experiência no desenvolvimento de ferramentas computacionais, simulação, projeto e testes de sistemas propulsivos. A DeltaV Engenharia Espacial se propõe a desenvolver tecnologia de forma competitiva para viabilizar a exploração comercial do Espaço pelo Brasil e por seus parceiros comerciais e tem como meta se tornar sinônimo de excelência no fornecimento de sistemas de propulsão líquida para aplicações espaciais no Brasil.;DeltaV Engenharia Espacial is a brazilian startup, spin-off from the Combustion and Propulsion Laboratory of the National Institute for Space Research, actuating on the development of propulsion systems for space applications. Founded in 2019, has its headquarters in São José dos Campos, in the State of São Paulo. The company has a highly qualified and complementary team in Space Engineering, with experience on the development of softwares, simulations, design and tests of propulsion systems. DeltaV Engenharia Espacial proposes to develop technology in a competitive way to enable the commercial exploration of Space by Brazil and by its commercial partners and aims to become synonymous with excellence in the supply of liquid propulsion systems for space applications in Brazil.;Desenvolvendo Tecnologia Nacional para Levar o Brasil ao Espaço.;Daniel Resemini;daniel.resemini@deltavengenharia.com;www.deltavengenharia.com;+55 21 98743-3629;Lançadores | Aplicações | Hardware | Software;Projeto de sistemas propulsivos | Ferramentas computacionais para otimização dos subsistemas do propulsor
23;EDGE OF SPACE INDUSTRIA, COMERCIO, ASSESSORIA E ENGENHARIA LTDA;Jacareí;Rodovia Geraldo Scavone, Galpão 42, 2300;A empresa desenvolve soluções inovadores para as empresas aeroespaciais, e desenvolve produtos visando o desenvolvimento aeroespacial brasileiro no setor de veículos lançadores e foguetes de sondagem.;The company develops innovative solutions for aerospace companies, and develops products aimed at Brazilian aerospace development in the field of launch vehicles and sounding rockets.;Soluções Inovadoras de Confiança;Vanderlei neias junior;diretoriajunior@gmail.com;www.edgeofspace.com.br;+55 12 98825-81659;Lançadores | Aplicações | Software | Infraestrutura | Outros;Foguete de Sondagem Reutilizável | Usinagem de precisão | Lançador de Nano Satélites | Foguete Anti Granizo | Foguete de Sondagem Híbrido 100 Km
24;EMSISTI Sistemas Espaciais & Tecnologia;Franca;Vila Nossa Senhora das Graças, Avenida Antônio Rodrigues Netto, 862;A EMSISTI® Sistemas Espaciais & Tecnologia tem por missão inovar e cooperar com nossos clientes de forma sustentável fortalecendo os laços entre os parceiros, gerando valor à sociedade e permitindo o sucesso de nossos colaboradores. Fundada no ano de 2010, foi a primeira startup brasileira a desenvolver sistema de software para o segmento solo e estações terrenas de nanossatélites científicos no país, sendo um dos principais fornecedores do Programa de Nanossatélites Científicos Brasileiro - NANOSATC-BR.;EMSISTI® Space Systems & Technology has as its mission to innovate and cooperate with our customers in a sustainable way, strengthening the ties between partners, generating value for society and allowing the success of our employees. Founded 2010 it was the first Brazilian startup to develop software systems for communication between the satellite and ground segment for the Brazilian Scientific Nanosatellite Program. We are one of the main suppliers of the Brazilian government program known as NANOSATC-BR, Cubesat Development.;Sistemas Espaciais & Tecnologia.;marcelo henrique essado de morais;marceloessado@gmail.com;www.emsisti.com.br;+55 16 3722-2002;Satélites | Aplicações | Hardware | Software | Infraestrutura | Serviços;Simulador de Experimentos Espaciais | Interface eletrônica de controle e comunicação de dados | Plataforma de Coleta de Dados Ambientais | Estação Solo para Rastreio, Telecomando e Telemetria | Nanosatellite Control System (NanosatCS) | Plataforma Web para Centro de Dados e de Missões Aeroespaciais | Software embarcado de Gestão de Bordo para Nanossatélites | Kit Educacional Aeroespacial
25;EQUATORIAL SISTEMAS;São José dos Campos;Av. Cesare Monsueto Giulio Lattes, 501 (A11-ST02) – Coqueiro;A Equatorial Sistemas trabalha com estudos e soluções tecnológicas para sistemas espaciais, defesa e segurança e engenharia científica, fornecendo carga útil para satélites, equipamentos eletrônicos de alta confiabilidade e serviços de consultoria para diferentes tipos de missão. A Equatorial Sistemas é uma empresa do setor aeroespacial, que trabalha desde 1996 para atender as necessidades do mercado latino-americano, através da qualidade de seus serviços e o alto valor agregado de seus produtos.;Equatorial Sistemas offers studies and technological solutions for space, defense and security systems and scientific engineering, providing payload for satellites, highly reliable electronic equipment and consulting services for different types of missions. Equatorial Sistemas is an aerospace company, that works since 1996 to meet the needs of the Latin American market, through high quality of its services and high added value products.;-;Cesar Celeste Ghizoni;comercial@akaer.com.br;www.equatorialsistemas.com.br;+55 12 2139-1100;Satélites | Serviços;Sistemas e Confiabilidade | Mecânica e Térmica | Eletrônica e Manufatura | Óptica e Radiação | Software e Simulação | Estudos de Missão e Consultoria | Equipamentos de Suporte | Testes Funcionais e Ambientais | Qualificação de Processos
26;ERMA TECH Industria e Soluções em Tecnologia Aeronáutica LTDA;São José dos Campos;Av. Eng Juarez de Siqueira Britto Wanderley, 440, Cond. Eldorado;ERMA TECH fundada em 2003, localizada em São José dos Campos / SP, fornece Soluções de Fabricação de Cablagens, Chicotes e dispositivos elétricos, e ferramentais Elétricos, Hidráulicas e Pneumáticos para as indústrias Aeroespacial, Defesa, Naval e Ferroviária. A ERMA TECH também fornece serviços de montagem e integração eletromecânica - caixas elétricas, painéis de controle e gabinetes - integrando componentes ativos, passivos e mecânicos. Através do Sistema de Gestão da Qualidade, é certificada pela AS9100D: 2016 e ISO9001: 2015, adotando as Melhores Práticas de Manufatura conforme IPC-620-C, sendo reconhecida pelo excelente nível técnico, qualidade, prazos, custos, e confiabilidade de nossos produtos e serviços. Planta Industrial com 1.000 m2 e infraestrutura completa de equipamentos, como software CATIA, Solução de corte marcação de fio a laser, Bancada de teste automática, impressão por transferência térmica e kit completo de ferramentas aferidas e calibradas de: corte, decapagem, prensagem, estacoes de solda, máquina de tração, equipamentos para testes manuais e testes automatizados;ERMA TECH established in 2003, located in São José dos Campos / SP, provides solutions of harnesses and electrical devices assembly, Electrical Installation, and hydraulic and pneumatic tooling for Aerospace, Defense, Naval and Railroad industries. ERMA TECH also provides high level turnkey box build and electromechanical assembly services—test boxes, power trays, control panels and enclosures—integrating active, passive and mechanical components. Through the Quality Management System, it is certified by AS9100D: 2016 and ISO9001: 2015, adopting the Best Manufacturing Practices according to IPC-620-C, being recognized for the excellent technical level, quality, lead time, costs, and reliability of our products and services. Industrial plant with 1,000 m2 and complete infrastructure of equipment, such as CATIA software, Cut & mark Laser wires solution, automatic test bench, thermal transfer printing and complete kit of tools measured and calibrated: cutting, stripping, pressing, welding stations, traction machine, equipment for manual testing and automated tests.;Harnesses & Hoses.;Eduardo Barboni;eduardo.barboni@ermatech.com.br;www.ermatech.com.br;+55 12 3939-1305 | +55 12 98892-0615;Serviços;Projeto e desenvolvimento de chicotes elétricos, dispositivos elétricos, ferramental hidráulico e pneumático | Projeto de formboard 2D, diagramas elétricos e roteamento 3D, Especificação e definição de componentes e lista de peças, Pesquisa e importação de material com foco nas necessidades do cliente, Prototipagem 3D Virtual | Fabricação de Cablagens e Chicotes Elétricos de alta tecnologia | Montagem e integração eletromecânica - caixas elétricas, painéis de controle e gabinetes - integrando componentes ativos, passivos e mecânicos | Serviços de Industrialização, Instalação, Manutenção de Cablagens, Chicotes, Mangueiras e Dispositivos Eletromecânicos, Hidráulico e Pneumático | Projeto e fabricação de ferramentas hidráulicas e pneumáticas para testes de mangueiras, braçadeiras de tubos, bancadas pneumáticas, testes de vedação / combustível / hidráulico | Alocação de mão de obra especializada no cliente | Soluções TurnKey
27;ESPECTRO LTDA;Campinas;Avenida Santa Isabel, 752, Barão Geraldo;Desde 2004, A ESPECTRO Ltda. atua em projetos e consultorias nos segmentos de telecomunicações, automação, micro-ondas, antenas, IoT e treinamentos. A equipe de desenvolvimento da ESPECTRO Ltda é especializada em hardware, software, e projetos de processamento digital de sinais e antenas, focada na capacitação contínua e nas novas tendências de mercado. A capacidade técnica da ESPECTRO Ltda inclui o ciclo de projeto completo do produto ou equipamento. Suas competências incluem caracterização de antenas, desenvolvimento de esquemáticos, layout de PCB e supervisão de manufatura, desenvolvimento de software embarcado em microcontroladores, desenvolvimento de funções para equipamentos em lógica programável (VHDL / Verilog), integração e depuração de firmware e hardware. Para desenvolvimento de hardware, utiliza simulação eletromagnética, PCB orientado a EMI/EMC, e projetos com componentes complexos como fine-pitch BGA e tolerantes a radiação;Since 2004, The ESPECTRO Ltd. works in projects and consulting in several market segments, as telecommunications, automation, microwave, antennas, IoT, and training. The ESPECTRO Ltd. development team is specialized in hardware, software, digital signal processing and antennas, focusing on a continuous technical capacitation and new market trends. ESPECTRO Ltd. technical capacity includes the whole project cycle for product or equipment. Its competences include antenna characterization, PCB layout and manufacturing supervision, development of embedded software for microcontrollers, development of functions for programmable logic devices in VHDL / Verilog, hardware, and firmware integration, troubleshooting and bug fixing. Concerning to hardware development, it works with cutting-edge CAE softwares, electromagnetic simulation, PCB oriented to EMI / EMC, and design with complex components as fine-pitch BGA, and HardRad tolerant components.;Projeto, Desenvolvimento e Inovação em um Só Lugar. Sempre!;Dra. Cynthia Junqueira;cyjunqueira@espectro-eng.com.br;www.espectro-eng.com.br;+55 19 3201-0794;Aplicações | Hardware | Software | Serviços;Receptor GPS de Alta Dinâmica (TRL-6) | Serviço de rastreamento de veículos que alcancem velocidades acima de 10.000 km/h e acelerações maiores que 20g | Desenvolvimento de soluções customizadas de componentes de micro-ondas e antenas planares ou conformáveis com a técnica microlinha ou stripline | Desenvolvimento de hardware de alta complexidade
28;FIBRAFORTE;São José dos Campos;Jose Sierra, 121 - Condomínio Industrial Eldorado CEP/Zip;A FIBRAFORTE é uma empresa aeroespacial, fundada em 1994. As áreas de negócio são: Espaço (Estruturas de Satélite, Mecanismo e Sistemas de Propulsão) e Aeronave (Serviço de Engenharia para desenvolvimento de estruturas) A atividade está relacionada ao desenvolvimento de engenharia mecânica aplicada a sistemas aeroespaciais que requerem projetos, análises e testes críticos e/ou complexos, bem como técnicas de fabricação dedicadas. A FIBRAFORTE tem porte, expertise e filosofia de operação bem adaptados para a execução de suas atividades a um custo muito competitivo e dentro de um cronograma enxuto. A produção é geralmente limitada a protótipos: modelos para testes de qualificação seguidos por pequenos lotes de produtos. Todas as atividades de engenharia, seja projeto, teste ou fabricação, são realizadas em conformidade com sistema de qualidade estabelecido. Um cuidado especial é tomado com a aderência da documentação à prática.;FIBRAFORTE is an Aerospace Company, started in 1994. The Business areas are: Space (Satellite Structures, Mechanism and Propulsion Systems) and Aircraft (Engineering Service for structures development). The activity is related to the development of mechanical engineering applied to aerospace systems that propagate, analyze and test criteria and / or complex, as well as dedicated manufacturing techniques. FIBRAFORTE has a size, expertise and operating philosophy well adapted to carry out its activities at a very competitive cost and within a lean schedule. Production is generally limited to prototypes: models for qualification tests followed for small batches of products. All engineering activities, be it design, testing or manufacturing, are carried out in accordance with an established quality system. Particular care is taken with the adherence of documentation to practice.;Uma pequena empresa comprometida com o sucesso do Programa Espacial Brasileiro desde 1994;Jadir Nogueira Gonçalves;jadir.goncalves@fibraforte.com.br;www.fibraforte.com.br;+55 12 3938-1416;Satélites | Hardware;Parte Mecânica do Gerador Solar da PMM | Estrutura do CBERS 3&4 | Estrutura do payload do CBERS 4A | Subsistema Propulsão da PMM | Válvulas de Enchimento e Dreno (FDVs) | Subsistema Propulsão para micro ou mini satélites – MPS Unit | Propulsores Monopropelente de 1N e de 5N | Tanques de Propelente 40L (fixação equatorial ou por pedestal) | Containers para o CBERS 3&4 | Deployment Rig para o Gerador Solar da PMM | Sistema de teste elétrico (EGSE) do Sistema de Propulsão | Sistemas de Pressurização e de Enchimento
